words,definition,pos_tag,freq_of_use
menarik,[me.na.ri]  Definisi :1. menghela supaya bergerak ke arah diri sendiri maju ke hadapan keluar tercabut dll menyentak menyeret: ~ perahu ke darat 2. ki mencabut mengambil menghunus menyedut dll: kipas-kipas itu hendak-lah dipasang supaya dapat ~ udara yg bersih dr luar masuk ke dlm bilik itu 3.  ~ hati memikat hati: permainan yg sungguh istimewa dan ~Kamus Dewan Edisi Keempat[me.na.ri]  Definisi :1 menghela sesuatu supaya bergerak ke arah diri sendiri supaya keluar tercabut dll: Kepala kereta api itu dpt ~ tiga puluh tan arang batu mendaki bukit dgn kederasan empat batu sejam. 2  ~ hati memikat atau menawan hati: Tempat itu indah dan ~. 3 ki menyedut menghisap. ~ beca mengayuh beca. ~ diri meletakkan jawatan tidak mahu menerima sesuatu jawatan berundur dr sesuatu kumpulan perhubungan dll mengundurkan diri. ~ layar menaikkan layar. ~ muka masam menunjukkan muka yg masam. ~ nafas menyedut udara.Kamus Pelajar Edisi Kedua,-,-
pelabur,[pe.la.bur]  Definisi :sl makanan dll yg sudah ditentukan catu rangsum: Sultan Iskandar Shah menyuruh mengeluarkan beras kpd bendahari akan ~ segala rakyat ~ habis Palembang tak alah prb modal telah banyak habis tetapi faedah akhirnya tiada.Kamus Dewan Edisi Keempat[pe.la.bur]  Definisi :1. orang yg melabur menanam modal 2. bekalan makanan wang dll ~ asing individu atau syarikat dr luar negara yg melaburkan modalnya dlm sesuatu perniagaan dsb ~ institusi Eko institusi atau organisasi yg mengumpul dan mengurus dana drpd orang ramai utk tujuan pelaburan secara besar-besaran dlm pasaran saham dsb ~ runcit Eko pelabur individu yg jumlah pelaburannya sangat kecil hanya beberapa lot saham dsb ~ habis Palembang tak alah prb perbuatan yg sia-sia.Kamus Dewan Edisi Keempat[pe.la.bur]  Definisi :1 orang syarikat dsb yg melabur atau yg melaburkan sesuatu. 2 bekalan makanan.Kamus Pelajar Edisi Kedua,-,-
global,[glo.bal]  Definisi :1. meliputi mempengaruhi atau mengenai seluruh dunia sejagat: masalah alam sekitar ~ 2. merangkumi seluruh kumpulan perkara dsb menyeluruh: perkara itu hendaklah dilihat dr sudut pandangan yg ~ mengglobalkan menjadikan bersifat global: kitalah yg perlu menentukan apa yg hendak diglobalkan orang Melayu perlu diperlengkap utk menguruskan hubungan secara langsung iaitu ~ pemikiran mereka.Kamus Dewan Edisi Keempat[glo.bal]  Definisi :1 bkn dunia seluruhnya: Penipisan lapisan ozon merupakan masalah ~. 2 pd keseluruhannya pd umumnya. mengglobal meluas ke seluruh dunia: Tersebarnya wabak penyakit itu telah ~ hingga banyak yg terkorban. mengglobalkan menjadikan sesuatu bersifat global: Mereka diminta memandang jauh dan ~ pemikiran mereka.Kamus Pelajar Edisi Kedua,-,-
dan,-,-,-
eksport,[éks.pot]  Definisi :éksport 1. penghantaran barangbarang atau perkhidmatan ke luar negeri utk tujuan perdagangan: ekonomi negara ini akan merosot kiranya ~ getah dan bijih timah beransur-ansur kurang dlm hal ~ kita banyak bergantung pd bahan-bahan mentah 2. barang-barangKamus Dewan Edisi Keempat[éks.pot]  Definisi :éksport 1 perbuatan menghantar atau mengirim barang-barang dagangan ke luar negara: ~ getah ke Rusia semakin bertambah. 2 barang-barang dagangan yg dihantar ke luar negara: ~ utama Malaysia ialah getah dan bijih timah. mengeksport mengirim barang-barang dagangan ke luar negara: Malaysia ~ sebahagian besar getahnya ke negara-negara Barat. pengeksportan hal atau kerja mengeksport: Pd masa lalu getah keping berbunga yg dilapiskan menjadi bandela merupakan sistem ~ yg diterima. pengeksport orang negara dll yg mengeksport barang-barang dagangan.Kamus Pelajar Edisi Kedua,-,-
menurut,[me.nu.rut]  Definisi :1. berjalan dll mengikut jalan garis hala dll yg tertentu tidak menyimpang dr jalan dll yg tertentu: ~ jalan yg benar 2. mencontohi perbuatan orang lain dll meneladan meniru: telah dilihat oleh Cina diturutnya sebab itulah maka Cina gemar makan kangkung sampai sekarang 3. mengikut apa yg disuruh diperintah dll tidak melawan patuh kpd: maka segala orang itu pun semuanya ~ spt kata penghulunya 4. meluluskan permintaan kehendak dll memenuhi syarat ketentuan dll menyam-paikan harapan dll: Balzac tidak akan dapat melahirkan karya-karyanya yg agung itu jika ia ~ kehendak orang tuanya utk bertugas sbg seorang ahli undang-undang 5. mengikut berjalan dll mengekori dr belakang: dia berjalan menuju ruangan yg di sebelah barat bangunan aku ~nya dr belakang 6. spt yg dikhabarkan diberitakan dihebahkan dll sepanjang berita dll: ~ yg diketahui sebanyak satu suku juta ringgit harga saham telah terjual 7. sesuai dgn tidak bertentangan dgn tidak melanggar syarat dll selaras dgn: hari ini ~ pendapat orang alim ialah hari yg baik 8. tidak bersalahan drpd serupa dgn: rupanya ~ rupa neneknya 9. ikut serta melakukan sesuatu dll turut serta: Sultan Mansor Shah pun ~ menyebut nama Hang Tuah itu Laksamana 10. bergantung pd: maju mundurnya dlm pelajarannya ~ kerajinannyaKamus Dewan Edisi Keempat[me.nu.rut]  Definisi :1 mencontoh perbuatan orang lain meniru. 2 patuh atau taat mengikut apa-apa yg diperintahkan: Ia ~ saja apabila disuruh oleh ketuanya. 3 mengikut dr belakang: Dia sentiasa ~ ke mana saja bapanya pergi. 4 spt yg diberitakan atau spt yg dikhabarkan: ~ akhbar tsb lebih drpd dua puluh orang telah tercedera dlm kemalangan itu. 5 tidak menyimpang dr jalan tertentu: Kereta api itu berjalan ~ rel. 6 tidak membantah ttg permintaan kehendak dll: Ia ~ segala kehendaki isterinya.Kamus Pelajar Edisi Kedua,-,-
hantaran,[han.ta.ran]  Definisi :1. sesuatu yg dihantar dikirim kiriman: petani-petani sambilan ini mungkin mendapat ~ drpd anak dan ahli keluarga yg melakukan migrasi 2.  ~ kahwin  wang ~ wang yg dihantar oleh pihak lelaki kpd bakal mentua utk perbelanjaan perkahwinan belanja hangus 3. dlm majlis perkahwinan orang Melayu hadiah berupa makanan pakaian dsb yg dibawa bersama wang hantaran: pihak pengantin lelaki membawa tujuh dulang ~ 4. dlm permainan bola sepak dll tendangan balingan dsb bola ke sesuatu tempat atau kpd pemain lain: ~nya tidak sampai kpd kawannyaKamus Dewan Edisi Keempat[han.ta.ran]  Definisi :1 sesuatu yg dihantar kiriman. 2  wang ~ wang yg dihantar oleh pihak pengantin lelaki kpd pihak pengantin perempuan. 3 barang-barang spt pakaian makanan yg berupa hadiah yg dibawa bersama wang hantaran oleh pihak pengantin lelaki utk pengantin perempuan.Kamus Pelajar Edisi Kedua,-,-
itu,-,-,-
turut,[tu.rut]  Definisi :1. pergi bersama: saya ~ ke mana dia pergi 2. bersama-sama melakukan ditimpa dll sesuatu tidak terkecuali drpd sesuatu kejadian perbuatan dll ikut serta: Ahmad yg ~ terbunuh oleh serangan hendap itu baru semalam ditemui mayatnya ~ serta bersama-sama mengikuti melibatkan diri dalam melakukan dll sesuatu 3. patuh kpd undang-undang janji dll taat kpd: sekiranya kamu ~ akan nasihat ini berbahagialah kamu ~ campur mencampuri urusan atau hal orang lain ~ serta ikut serta melakukan sesuatu dll pak ~ orang yg sentiasa mengikut meniru dll orang lain seturut 1. sepanjang yg dihebahkan dicerita-kan dll 2. tidak bersalahan dgn sesuai dgn adat dll selaras dgn 3. langsung selepas sebaik sahaja: Bujal menggeleng kepala ~ dgn keluhannya berturut bersusun mengikut peraturan berikutan dgn teratur tidak ada antara: cari dua angka ganjil yg ~ dgn syarat selisih di antara ganda dua satu angka dgn yg lain itu 48 berturut-turut berturutan 1. tidak ber-antara antara satu dgn lain lepas satu-satu terus-menerus dgn teratur tidak berselang tidak berhentinya beruntun-runtun bersam-bung-sambung: beliau telah kalah dlm tiga pilihan raya kecil kpd parti lawannya secara ~ 2. terus melakukan sesuatu dgn tiada henti-nya bertubi-tubi berulang-ulang: maka meriam pun sudahlah diisi lalu ditembaknya tiga pucuk ~ berturuti Mn dipercayai dan dipakai per-cakapan dll diikuti nasihat dll dipatuhi menurut 1. berjalan dll mengikut jalan garis hala dll yg tertentu tidak menyimpang dr jalan dll yg tertentu: ~ jalan yg benar 2. mencontohi perbuatan orang lain dll meneladan meniru: telah dilihat oleh Cina diturutnya sebab itulah maka Cina gemar makan kangkung sampai sekarang 3. mengikut apa yg disuruh diperintah dll tidak melawan patuh kpd: maka segala orang itu pun semuanya ~ spt kata penghulunya 4. meluluskan permintaan kehendak dll memenuhi syarat ketentuan dll menyam-paikan harapan dll: Balzac tidak akan dapat melahirkan karya-karyanya yg agung itu jika ia ~ kehendak orang tuanya utk bertugas sbg seorang ahli undang-undang 5. mengikut berjalan dll mengekori dr belakang: dia berjalan menuju ruangan yg di sebelah barat bangunan aku ~nya dr belakang 6. spt yg dikhabarkan diberitakan dihebahkan dll sepanjang berita dll: ~ yg diketahui sebanyak satu suku juta ringgit harga saham telah terjual 7. sesuai dgn tidak bertentangan dgn tidak melanggar syarat dll selaras dgn: hari ini ~ pendapat orang alim ialah hari yg baik 8. tidak bersalahan drpd serupa dgn: rupanya ~ rupa neneknya 9. ikut serta melakukan sesuatu dll turut serta: Sultan Mansor Shah pun ~ menyebut nama Hang Tuah itu Laksamana 10. bergantung pd: maju mundurnya dlm pelajarannya ~ kerajinan-nya ~ lagu mengikut irama atau rentak lagu ~ pusingan jam mengikut arah pusingan jarum jam turut-menurut 1. saling menurut ikut-mengikut tidak tentang-menentang 2. ark menurut sahaja fikiran orang dll ikut-ikutan menuruti 1. mengikut dr belakang meng-ekori mengikut: Ismail berganding dgn Lamah berjalan lambat-lambat menuju ke kereta Bibah ~ mereka dr belakang dgn wajah usang 2. tidak menegah melarang meluluskan pem-berian dll memberi: diturutinya sahaja ke-mahuan cahaya matanya yg tunggal itu 3. menurut akan nasihat dll tidak menentang mematuhi: ia ~ kehendak suaminya 4. men-jadikan sesuatu sbg contoh teladan mencontohi: jangan dituruti kerana ia orang yg tidak tahu bahasa menurutkan 1. mengikut berjalan dll di belakang sesuatu mengiringkan: mereka berjalan ~ orang tua mereka 2. tidak mene-gahkan melarangkan mengikut kehendak hati dll melayani memberi: dr satu bandar ke satu bandar yg lain dia berpindah-pindah ~ hati 3. mendasarkan pd menjadikan sbg dasar: kerendahan budi selama ini hanya diperintahi oleh perasaan hati tidak ~ per-timbangan yg adil memperturut sl mengejar dr belakang menghambat: berundurlah mereka balik ke perkhemahannya diperturut oleh tentera Kembayat memperturutkan 1. membiarkan bersama-sama melakukan sesuatu dll membiarkan turut tidak mengecualikan 2. tidak melarang-kan menegahkan mengikuti kemahuan ke-hendak dll mematuhi menurutkan: sekali-kali jangan diperturutkan rasa kecewa yg mungkin menjadikan orang putus asa 3.  memperturut-turutkan melakukan sesuatu berkali-kali mempertubi-tubi: perajurit itu pun segeralah berlari-lari serta menikam dada Tun Tuah diperturut-turutkannya tikaman itu turutan 1.  turut-turutan sesuatu yg diturut dicontohi diikuti dll contoh teladan: maka iaitu patutlah menjadi ~ dan teladan bagi segala orang yg terkemudian 2. yg berturut-turut berikut-ikut 3. yg ikut atau turut bersama orang ~ orang yg turut ikut turut-turutan 1. sesuatu yg diturut contoh teladan turutan 2. selalu menurut kata dll orang lain ikut-ikutan: dia tidak mahu menjadi petani ~ perturutan 1. perihal berturut-turut beruntun-runtun 2. kelanjutan seperturutan sl sama perbuatan kelakuan dll dgn mengikut-ikut orang lain: jika engkau ~ dgn dia engkau pun terbawa-bawa penurut 1. tidak membantah melawan dll suka menurut patuh taat 2. orang yg meng-ikut pengikut.Kamus Dewan Edisi Keempat[tu.rut]  Definisi :1 ikut atau pergi bersama: Saya ~ ke mana-mana saja suami saya pergi. 2 bersama-sama melakukan sesuatu atau bersama-sama ditimpa sesuatu kejadian dsb tidak terkecuali drpd: Ia ~ mati lemas kerana terperangkap dlm kereta yg tenggelam itu. ~ campur bersama mencampuri urusan atau hal orang lain. ~ serta ikut serta melakukan sesuatu. pak ~ orang yg sentiasa mengikut atau meniru orang lain. berturut berikut atau bersusun dgn teratur. berturut-turut 1 lepas satu satu terus-menerus dgn teratur tidak berselang antara satu dgn yg lain: Pasukan itu telah kalah tiga kali ~. 2 terus melakukan sesuatu dgn tidak henti-henti berulang-ulang: Ia menembak musuh ~. menurut 1 mencontoh perbuatan orang lain meniru. 2 patuh atau taat mengikut apa-apa yg diperintahkan: Ia ~ saja apabila disuruh oleh ketuanya. 3 mengikut dr belakang: Dia sentiasa ~ ke mana saja bapanya pergi. 4 spt yg diberitakan atau spt yg dikhabarkan: ~ akhbar tsb lebih drpd dua puluh orang telah tercedera dlm kemalangan itu. 5 tidak menyimpang dr jalan tertentu: Kereta api itu berjalan ~ rel. 6 tidak membantah ttg permintaan kehendak dll: Ia ~ segala kehendaki isterinya. turut-menurut tidak tentang-menentang saling menurut. menuruti mengikut seseorang atau sesuatu dr belakang mengekori. menurutkan mengikut kehendak hati nafsu dsb tidak membantah kehendak hati dsb: ~ hati. memperturutkan 1 menjadikan berturut-turut melakukan sesuatu berkali-kali: Kerana terlalu marah dia ~ pukulannya terhadap orang itu. 2 membiarkan atau membuat supaya bersama-sama melakukan sesuatu membiarkan turut: Ketua Pengarah ~ lima orang pegawainya dlm seminar itu. turutan 1 sesuatu yg diturut teladan. 2 yg berturut-turut atau yg berikut-ikut. 3 yg turut bersama yg menurut: orang ~ orang yg turut bersama. perturutan hal atau keadaan berturut-turut. penurutan perbuatan hal dsb menurut menuruti atau menurutkan. penurut 1 suka mengikut atau suka menurut tidak membantah atau tidak melawan patuh. 2 orang yg menurut pengikut.Kamus Pelajar Edisi Kedua,-,-
memfokuskan,[mem.fo.kus.kan]  Definisi :1. menjadikan sinar cahaya haba bunyi bertumpu pd satu titik menumpukan: apabila bahagian depan mata terlalu bujur dan tidak bulat cahaya tidak dapat difokuskan ke bahagian belakang mata 2. memberikan tumpuan perhatian dsb kpd menumpukan perhatian kpd menonjolkan: drama sebabak ini ~ saat-saat terakhir pemberontakannyaKamus Dewan Edisi Keempat[mem.fo.kus.kan]  Definisi :menjadikan cahaya bertumpu ke satu titik dgn menggerak-gerakkan kanta dll.Kamus Pelajar Edisi Kedua,-,-
pembangunan,[pem.ba.ngu.nan]  Definisi :1. perihal membangun proses membangun mencapai kemajuan perkembangan perkembangan dsb 2. usaha atau kegiatan membangunkan memajukan dan mengembangkan: ~ luar bandar ~ sistemKamus Dewan Edisi Keempat[pem.ba.ngu.nan]  Definisi :perbuatan cara dsb membangunkan sesuatu: ~ luar bandar ~ masjid itu telah memakan masa dua tahunKamus Pelajar Edisi Kedua,-,-
hijau,[hi.jau]  Definisi :1. warna spt warna daun atau rumput banyak peringkatnya ~ bemban warna hijau yg pekat atau yg gelap spt bemban ~ daun a warna hijau spt daun b sj pigmen yg terdapat pd daun-daun yg hijau ~ kepala itik Kl warna hijau kebiru-biruan ~ laut hijau spt air laut ~ muda  ~ pucuk pisang warna hijau yg keputih-putihan ~ serindit warna hijau yg lebih muda drpd warna hijau pucuk pisang ~ tua warna hijau yg kehitam-hitaman 2. ki masih mentah dlm berbagai-bagai erti kurang pengalaman: anak-anak itu masih ~ masih belum mengerti erti hidup naik kuda ~ ki mabuk menghijau 1. menjadi hijau warnanya: padi sedang ~ 2. nampak hijau warnanya: di seberang jalan raya itu kelihatan padang bola Kolej Melayu ~ rata menghijaukan menjadikan berwarna hijau mewarnakan dgn warna hijau kehijauan keadaan hijau: beberapa kawasan yg dulunya megah dgn ~nya kini telah berubah menjadi kawasan industri kehijau-hijauan agak hijau warnanya: gas itu berwarna kuning ~ dan berbau sengit.Kamus Dewan Edisi Keempat[hi.jau]  Definisi :warna spt warna daun. ~ laut warna hijau spt warna air laut. ~ muda warna hijau yg keputih-putihan. ~ pucuk pisang warna hijau spt warna pucuk pisang. ~ tua warna hijau yg agak gelap. menghijau 1 nampak berwarna hijau: Di seberang jalan raya itu kelihatan padang bola ~ rata. 2 menjadi berwarna hijau: Pokok padi ~ di sawah. menghijaukan menjadikan berwarna hijau mewarnai lukisan dsb dgn warna hijau. kehijauan 1  kehijau-hijauan seakan-akan warna hijau agak hijau warnanya. 2 keadaan atau sifat hijau: ~ sawah padi menenangkan fikirannya. penghijauan perihal atau perbuatan menghijaukan.Kamus Pelajar Edisi Kedua,-,-
perindustrian,[per.in.dus.trian][pe.rin.dus.trian]  Definisi :perihal industri yg berkaitan dgn industri:Kamus Dewan Edisi Keempat[per.in.dus.trian][pe.rin.dus.trian]  Definisi :hal mengenai industri.Kamus Pelajar Edisi Kedua,-,-
hijau,[hi.jau]  Definisi :1. warna spt warna daun atau rumput banyak peringkatnya ~ bemban warna hijau yg pekat atau yg gelap spt bemban ~ daun a warna hijau spt daun b sj pigmen yg terdapat pd daun-daun yg hijau ~ kepala itik Kl warna hijau kebiru-biruan ~ laut hijau spt air laut ~ muda  ~ pucuk pisang warna hijau yg keputih-putihan ~ serindit warna hijau yg lebih muda drpd warna hijau pucuk pisang ~ tua warna hijau yg kehitam-hitaman 2. ki masih mentah dlm berbagai-bagai erti kurang pengalaman: anak-anak itu masih ~ masih belum mengerti erti hidup naik kuda ~ ki mabuk menghijau 1. menjadi hijau warnanya: padi sedang ~ 2. nampak hijau warnanya: di seberang jalan raya itu kelihatan padang bola Kolej Melayu ~ rata menghijaukan menjadikan berwarna hijau mewarnakan dgn warna hijau kehijauan keadaan hijau: beberapa kawasan yg dulunya megah dgn ~nya kini telah berubah menjadi kawasan industri kehijau-hijauan agak hijau warnanya: gas itu berwarna kuning ~ dan berbau sengit.Kamus Dewan Edisi Keempat[hi.jau]  Definisi :warna spt warna daun. ~ laut warna hijau spt warna air laut. ~ muda warna hijau yg keputih-putihan. ~ pucuk pisang warna hijau spt warna pucuk pisang. ~ tua warna hijau yg agak gelap. menghijau 1 nampak berwarna hijau: Di seberang jalan raya itu kelihatan padang bola ~ rata. 2 menjadi berwarna hijau: Pokok padi ~ di sawah. menghijaukan menjadikan berwarna hijau mewarnai lukisan dsb dgn warna hijau. kehijauan 1  kehijau-hijauan seakan-akan warna hijau agak hijau warnanya. 2 keadaan atau sifat hijau: ~ sawah padi menenangkan fikirannya. penghijauan perihal atau perbuatan menghijaukan.Kamus Pelajar Edisi Kedua,-,-
kerian,[ke.rian]  Definisi :sj tumbuhan pokok keriang batu Eugenia pseudosubtilis.Kamus Dewan Edisi Keempat,-,-
di,-,-,-
meningkatkan,[me.ning.kat.kan]  Definisi :meninggikan kedudukan taraf dll membesarkan pengeluaran dll memperhebat: daya usaha ini akan ~ kemungkinan pertumbuhan ekonomi kerjasama antara parti-parti komponen BN perlu ditingkatkan lagi ~ diriKamus Dewan Edisi Keempat[me.ning.kat.kan]  Definisi :meninggikan kedudukan taraf dll. Mereka berusaha utk ~ taraf hidup.Kamus Pelajar Edisi Kedua,kata nama,High
kerajaan,[ke.ra.ja.an]  Definisi :1. negeri atau negara yg dikepalai oleh raja: ~ Malaysia ~ Arab Saudi 2. pemerintahan negara: ~ Indonesia berparlimen 3. martabat kedudukan raja: setelah nenda hilang ayahanda Badanul menggantikan nenda di atas ~ 4. tanda-tanda alat kebesaran raja: pakaian ~ payung ~ takhta ~ 5. sifat sbg raja: jika tiada diketahuinya tujuh perkara tiada layak ia naik raja dan tiada sempurna ~nya 6. sl naik takhta menjadi raja: jika ia ~ tiada akan sempurna negeri iniKamus Dewan Edisi Keempat[ke.ra.ja.an]  Definisi :1 negeri atau negara yg mempunyai raja sbg kepala pemerintahannya: ~ Arab Saudi. 2 pemerintahan atau pemerintah sesebuah negara: ~ Thailand. 3 naik takhta menjadi raja: Jika ia ~ tiada akan sempurna negeri ini. ~ campuran pemerintahan yg anggota kabinetnya terdiri drpd berbagai-bagai parti bukan drpd satu parti politik. ~ pusat pemerintahan yg bersifat kebangsaan iaitu seluruhnya bukan kerajaan negeri atau bahagian. ~ tempatan 1 pemerintahan pentadbiran di peringkat daerah spt pekan bandar. 2 sistem kerajaan yg meletakkan pentadbiran hal ehwal kerajaan pd pihak berkuasa setempat mis majlis perbandaran dan majlis daerah.Kamus Pelajar Edisi Kedua,kata nama,High
